Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:55.659000,,0 days 00:00:49.787000,0 days 00:00:29.968000,SOFT,1.0,,
VER,0 days 00:01:53.103000,0 days 00:00:32.291000,0 days 00:00:50.712000,0 days 00:00:30.100000,SOFT,2.0,,
VER,0 days 00:01:52.277000,0 days 00:00:31.758000,0 days 00:00:50.325000,0 days 00:00:30.194000,SOFT,3.0,,
VER,0 days 00:01:52.789000,0 days 00:00:31.881000,0 days 00:00:50.599000,0 days 00:00:30.309000,SOFT,4.0,,
VER,0 days 00:01:52.602000,0 days 00:00:32.001000,0 days 00:00:50.201000,0 days 00:00:30.400000,SOFT,5.0,,
VER,0 days 00:01:52.130000,0 days 00:00:31.967000,0 days 00:00:49.818000,0 days 00:00:30.345000,SOFT,6.0,,
VER,0 days 00:01:52.415000,0 days 00:00:32.639000,0 days 00:00:49.487000,0 days 00:00:30.289000,SOFT,7.0,,
VER,0 days 00:01:52.472000,0 days 00:00:32.299000,0 days 00:00:49.833000,0 days 00:00:30.340000,SOFT,8.0,,
VER,0 days 00:01:51.880000,0 days 00:00:32.023000,0 days 00:00:49.462000,0 days 00:00:30.395000,SOFT,9.0,,
VER,0 days 00:01:52.455000,0 days 00:00:32.711000,0 days 00:00:49.261000,0 days 00:00:30.483000,SOFT,10.0,,
VER,0 days 00:01:52.613000,0 days 00:00:32.883000,0 days 00:00:49.361000,0 days 00:00:30.369000,SOFT,11.0,,
VER,0 days 00:01:52.714000,0 days 00:00:32.711000,0 days 00:00:49.661000,0 days 00:00:30.342000,SOFT,12.0,,
VER,0 days 00:01:52.962000,0 days 00:00:32.883000,0 days 00:00:49.588000,0 days 00:00:30.491000,SOFT,13.0,,
VER,0 days 00:01:57.166000,0 days 00:00:32.934000,0 days 00:00:49.266000,0 days 00:00:34.966000,SOFT,14.0,,0 days 01:29:04.112000
VER,0 days 00:02:03.986000,0 days 00:00:46.294000,0 days 00:00:48.059000,0 days 00:00:29.633000,MEDIUM,1.0,0 days 01:29:27.018000,
VER,0 days 00:01:50.696000,0 days 00:00:31.588000,0 days 00:00:49.186000,0 days 00:00:29.922000,MEDIUM,2.0,,
VER,0 days 00:01:50.108000,0 days 00:00:31.791000,0 days 00:00:48.188000,0 days 00:00:30.129000,MEDIUM,3.0,,
VER,0 days 00:01:51.637000,0 days 00:00:32.664000,0 days 00:00:48.716000,0 days 00:00:30.257000,MEDIUM,4.0,,
VER,0 days 00:01:51.956000,0 days 00:00:32.659000,0 days 00:00:48.697000,0 days 00:00:30.600000,MEDIUM,5.0,,
VER,0 days 00:01:55.733000,0 days 00:00:33.136000,0 days 00:00:50.946000,0 days 00:00:31.651000,MEDIUM,6.0,,
VER,0 days 00:01:54.915000,0 days 00:00:33.974000,0 days 00:00:50.087000,0 days 00:00:30.854000,MEDIUM,7.0,,
