🏎️ CANADIAN GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. SAI (Ferrari) - 19.0 pts - Status: Finished
3.0. HAM (Mercedes) - 15.0 pts - Status: Finished
4.0. RUS (Mercedes) - 12.0 pts - Status: Finished
5.0. LEC (Ferrari) - 10.0 pts - Status: Finished
6.0. OCO (Alpine) - 8.0 pts - Status: Finished
7.0. BOT (Alfa Romeo) - 6.0 pts - Status: Finished
8.0. ZHO (Alfa Romeo) - 4.0 pts - Status: Finished
9.0. ALO (Alpine) - 2.0 pts - Status: Finished
10.0. STR (Aston Martin) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:21.299000
2.0. ALO (Alpine) - Q3: 0 days 00:01:21.944000
3.0. SAI (Ferrari) - Q3: 0 days 00:01:22.096000
4.0. HAM (Mercedes) - Q3: 0 days 00:01:22.891000
5.0. MAG (Haas F1 Team) - Q3: 0 days 00:01:22.960000

🛞 Tire Stints:
Driver Compound  Stint
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   ALO   MEDIUM    3.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC     HARD    1.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
