🏎️ MIAMI GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. LEC (Ferrari) - 18.0 pts - Status: Finished
3.0. SAI (Ferrari) - 15.0 pts - Status: Finished
4.0. PER (Red Bull Racing) - 12.0 pts - Status: Finished
5.0. RUS (Mercedes) - 10.0 pts - Status: Finished
6.0. HAM (Mercedes) - 8.0 pts - Status: Finished
7.0. BOT (Alfa Romeo) - 6.0 pts - Status: Finished
8.0. OCO (Alpine) - 4.0 pts - Status: Finished
9.0. ALB (Williams) - 2.0 pts - Status: Finished
10.0. STR (Aston Martin) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. LEC (Ferrari) - Q3: 0 days 00:01:28.796000
2.0. SAI (Ferrari) - Q3: 0 days 00:01:28.986000
3.0. VER (Red Bull Racing) - Q3: 0 days 00:01:28.991000
4.0. PER (Red Bull Racing) - Q3: 0 days 00:01:29.036000
5.0. BOT (Alfa Romeo) - Q3: 0 days 00:01:29.475000

🛞 Tire Stints:
Driver Compound  Stint
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   ALO     HARD    2.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC   MEDIUM    1.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   LEC     HARD    2.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR     HARD    1.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   STR   MEDIUM    2.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG   MEDIUM    1.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG     HARD    2.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   MAG   MEDIUM    3.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU   MEDIUM    1.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     HARD    2.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   TSU     SOFT    3.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB   MEDIUM    1.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ALB     HARD    2.0
   ZHO   MEDIUM    1.0
   ZHO   MEDIUM    1.0
   ZHO   MEDIUM    1.0
   ZHO   MEDIUM    1.0
   ZHO   MEDIUM    1.0
   ZHO   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC   MEDIUM    1.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     HARD    2.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   RIC     SOFT    3.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     HARD    1.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   OCO     SOFT    2.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC   MEDIUM    1.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC     HARD    2.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET     HARD    1.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI   MEDIUM    1.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   SAI     HARD    2.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT     HARD    1.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
